Food Name,Protein (g),Fat (g),Carbohydrates (g),Calories,Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mcg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
"Cream, fluid, light (coffee cream or table cream)",2.96,19.1,2.82,191,0,0,0,3.67,0,3.67,0,0,91,0.05,9,92,136,72,0.32,0.012,0.005,4.6,656,178,181,37,0,0.12,1.1,0,1.1,0,0,0,0.8,0.023,0.19,0.09,0.44,0.044,2,0.14,16.8,59,10.176,2.82
"Cream, fluid, light whipping",2.17,30.91,2.96,292,0,0,0,0,0,2.96,0,0,69,0.03,7,61,97,34,0.25,0.007,0.001,0.5,1013,274,279,60,0,0.88,0.6,0,0.6,0,0,0,0.6,0.024,0.125,0.042,0.259,0.028,4,0.2,16.8,111,19.337,2.96
"Cream, fluid, heavy whipping",2.84,36.08,2.74,340,0,0,0,2.92,0,2.92,0,0,66,0.1,7,58,95,27,0.24,0.011,0.006,3,1470,405,411,72,0,0.92,1.6,0,1.6,0,0,0,0.6,0.02,0.188,0.064,0.495,0.035,4,0.16,16.8,113,23.032,2.74
"Cream, whipped, cream topping, pressurized",3.2,22.22,12.49,257,0,0,0,0,0,8,0,0,101,0.05,11,89,147,8,0.37,0.01,0.001,1.4,685,184,188,43,0,0.64,0.4,0,0.4,0,0,0,0,0.037,0.065,0.07,0.305,0.041,3,0.29,16.8,76,13.831,12.49
"Cream, sour, reduced fat, cultured",2.94,12,4.26,135,0,0,0,0,0,0.16,0,0,104,0.07,10,95,129,89,0.5,0.016,0.003,2.1,372,100,102,23,0,0.34,0.2,0,0.2,0,0,0,0.9,0.035,0.149,0.067,0.363,0.016,11,0.3,19.2,39,7.47,4.26
"Cream, sour, cultured",2.44,19.35,4.63,198,0,0,0,3.41,0,3.41,0,0,101,0.07,10,76,125,31,0.33,0.018,0.015,3.7,447,121,124,25,0,0.38,0,0,0,1,0,4,0.9,0.02,0.168,0.093,0.472,0.041,6,0.21,19.2,59,10.14,4.63
Eggnog,4.55,4.19,8.05,88,0.04,0.07,0.04,7.84,0.04,8.05,0.04,0,130,0.2,19,109,165,54,0.46,0.013,0.005,4.2,206,58,59,7,0,0.21,1.2,0,1.2,0,0,54,1.5,0.034,0.19,0.105,0.417,0.05,1,0.45,52.2,59,2.591,8.05
"Sour dressing, non-butterfat, cultured, filled cream-type",3.25,16.57,4.68,178,0,0,0,0,0,4.68,0,0,113,0.03,10,87,162,48,0.37,0.01,0.002,2.3,10,3,3,0,0,1.34,0,0,0,0,0,0,0.9,0.038,0.163,0.074,0.398,0.017,12,0.33,14.9,5,13.272,4.68
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",3.33,3.46,4.74,63,0,0,0,0,0,0,0,0,128,0.05,13,97,139,57,0.36,0.01,0.002,2,7,2,2,0,0,0,0,0,0,0,0,0,0.9,0.03,0.123,0.087,0.301,0.04,5,0.34,0,2,0.768,4.74
"Milk, filled, fluid, with lauric acid oil",3.33,3.4,4.74,63,0,0,0,0,0,4.74,0,0,128,0.05,13,97,139,57,0.36,0.01,0.002,2,7,2,2,0,0,0.13,0,0,0,0,0,0,0.9,0.03,0.123,0.087,0.301,0.04,5,0.34,15,2,3.101,4.74
"Cheese, American, nonfat or fat free",21.05,0,10.53,126,0,0,0,0,0,5.26,0,0,789,0,115,316,393,1316,4.11,0.559,0,14.6,189,55,56,3,0,0.27,0.1,0,0,0,0,0,0,0.412,0.545,5.56,0,0.567,9,1.85,38.4,26,0,10.53
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",1,9.97,11.38,136,0,0,0,0,0,11.38,0,0,9,0.03,0,64,191,67,0.02,0,0,1.1,15,0,1,9,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.937,11.38
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",1,9.97,11.38,136,0,0,0,0,0,0,0,0,9,0.03,0,64,191,79,0.02,0.025,0.04,1.1,89,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.304,11.38
"Cream substitute, powdered",2.48,32.92,59.29,529,0,3.52,0.57,0,3.67,7.77,0,0,2,0.26,1,288,669,124,0.07,0.018,0.011,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,2.3,0,19.146,59.29
"Dessert topping, powdered",4.9,39.92,52.54,577,0,0,0,0,0,52.54,0,0,17,0.03,7,74,166,122,0.08,0.118,0.225,0.6,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,36.723,52.54
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",3.61,12.72,17.13,194,13.38,0,0,3.75,0,17.13,0,0,90,0.04,10,86,151,66,0.27,0.012,0.005,4.8,120,34,34,5,0,0.45,0.9,0,0.9,0,0,0,0.7,0.027,0.117,0.06,0.226,0.03,4,0.26,10.6,10,10.684,17.13
"Dessert topping, pressurized",0.98,22.3,16.07,264,0,0,0,0,0,16.07,0,0,5,0.02,1,18,19,62,0.01,0.024,0.045,1.5,78,0,4,47,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.912,16.07
"Dessert topping, semi solid, frozen",1.25,25.31,23.05,318,0,0,0,0,0,23.05,0,0,6,0.12,2,8,18,25,0.03,0.03,0.058,2.1,143,0,7,86,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.783,23.05
"Sour cream, imitation, cultured",2.4,19.52,6.63,208,0,0,0,0,0,6.63,0,0,3,0.39,6,45,161,102,1.18,0.058,0.11,2.5,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.791,6.63
"Milk substitutes, fluid, with lauric acid oil",1.75,3.41,6.16,61,0,0,0,0,0,0,0,0,33,0.39,6,74,114,78,1.18,0.051,0.097,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.088,0,0,0,0,0,0,0,3.037,6.16
